PaperID|Title|Authors|Venue|Year
53908a9720f70186a0da6a7a|The XOO7 Benchmark|Stéphane Bressan, Mong-Li Lee, Ying Guang Li, Zoé Lacroix, Ullas Nambiar|Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers|2003
53908a9720f70186a0da6a7c|XML to Relational Conversion Using Theory of Regular Tree Grammars|Murali Mani, Dongwon Lee|Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers|2003
53908a9720f70186a0da6a7e|The Michigan Benchmark: A Microbenchmark for XML Query Processing Systems|Kanda Runapongsa, Jignesh M. Patel, H. V. Jagadish, Shurug Al-Khalifa|Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers|2003
53908a9720f70186a0da6a7f|Efficient Structure Oriented Storage of XML Documents Using ORDBMS|Alexander Kuckelberg, Ralph Krieger|Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers|2003
53908a9720f70186a0da6a7d|A New Path Expression Computing Approach for XML Data|Jianhua Lv, Guoren Wang, Jeffrey Xu Yu, Ge Yu, Hongjun Lu, Bing Sun|Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers|2003
53908a9720f70186a0da6a81|Efficient Cache Answerability for XPath Queries|Pedro José Marrón, Georg Lausen|Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers|2003
53908a9720f70186a0da6a80|Web-Based Integration of Printed and Digital Information|Moira C. Norrie, Beat Signer|Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers|2003
53908a9720f70186a0da6a7b|Relevance Ranking Tuning for Similarity Queries on XML Data|Paolo Ciaccia, Wilma Penzo|Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers|2003
53908b2a20f70186a0db90a9|Scientific Journals: Extinction or Explosion? (Panel)|Raghu Ramakrishnan, Hector Garcia-Molina, Gerhard Rossbach, Abraham Silberschatz, Gio Wiederhold, Jaco Zijlstra|VLDB '95 Proceedings of the 21th International Conference on Very Large Data Bases|1995
53908b2a20f70186a0db9097|Physical Data Independence, Constraints, and Optimization with Universal Plans|Alin Deutsch, Lucian Popa, Val Tannen|VLDB '99 Proceedings of the 25th International Conference on Very Large Data Bases|1999
53908b2a20f70186a0db90ac|Large Databases for Remote Sensing and GIS|A. R. Dasgupta|VLDB '96 Proceedings of the 22th International Conference on Very Large Data Bases|1996
53908b2a20f70186a0db909b|OLAP++: Powerful and Easy-to-Use Federations of OLAP and Object Databases|Junmin Gu, Torben Bach Pedersen, Arie Shoshani|VLDB '00 Proceedings of the 26th International Conference on Very Large Data Bases|2000
53908b2a20f70186a0db90e7|Mining Sequential Alarm Patterns in a Telecommunication Database|Pei-Hsin Wu, Wen-Chih Peng, Ming-Syan Chen|DBTel '01 Proceedings of the VLDB 2001 International Workshop on Databases in Telecommunications II|2001
53908b2a20f70186a0db9748|KODA - The Architecture And Interface of a Data Model Independent Kernel|Gopalan Arun, Ashok Joshi|VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases|1998
53908b2a20f70186a0db974e|Efficient Numerical Error Bounding for Replicated Network Services|Haifeng Yu, Amin Vahdat|VLDB '00 Proceedings of the 26th International Conference on Very Large Data Bases|2000
558e10e50cf2e66758050bc2|Author Index||VLDB '00 Proceedings of the 26th International Conference on Very Large Data Bases|2000
53908b2a20f70186a0db9751|PicoDMBS: Scaling Down Database Techniques for the Smartcard|Christophe Bobineau, Luc Bouganim, Philippe Pucheral, Patrick Valduriez|VLDB '00 Proceedings of the 26th International Conference on Very Large Data Bases|2000
53908b2a20f70186a0db9745|WATCHMAN: A Data Warehouse Intelligent Cache Manager|Peter Scheuermann, Junho Shim, Radek Vingralek|VLDB '96 Proceedings of the 22th International Conference on Very Large Data Bases|1996
53908b2a20f70186a0db974d|The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems|Kjetil Nørvåg|VLDB '99 Proceedings of the 25th International Conference on Very Large Data Bases|1999
53908b2a20f70186a0db974b|Mining Deviants in a Time Series Database|H. V. Jagadish, Nick Koudas, S. Muthukrishnan|VLDB '99 Proceedings of the 25th International Conference on Very Large Data Bases|1999
53908b2a20f70186a0db9744|Performance of Future Database Systems: Bottlenecks and Bonananzas|Chaitanya K. Baru|VLDB '96 Proceedings of the 22th International Conference on Very Large Data Bases|1996
53908b2a20f70186a0db9743|The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept|Henry F. Korth|VLDB '95 Proceedings of the 21th International Conference on Very Large Data Bases|1995
53908b2a20f70186a0db9750|Building and Customizing Data-Intensive Web Sites Using Weave|Khaled Yagoub, Daniela Florescu, Valérie Issarny, Patrick Valduriez|VLDB '00 Proceedings of the 26th International Conference on Very Large Data Bases|2000
53908b2a20f70186a0db9749|Experiences in Federated Databases: From IRO-DB to MIRO-Web|Peter Fankhauser, Georges Gardarin, M. Lopez, J. Muñoz, Anthony Tomasic|VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases|1998
53908b2a20f70186a0db974c|Hyper-Programming in Java|Evangelos Zirintsis, Graham N. C. Kirby, Ronald Morrison|VLDB '99 Proceedings of the 25th International Conference on Very Large Data Bases|1999
53908b2a20f70186a0db9746|Resource Scheduling in Enhanced Pay-Per-View Continuous Media Databases|Minos N. Garofalakis, Banu Özden, Abraham Silberschatz|VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases|1997
53908b2a20f70186a0db974f|Memex: A Browsing Assistant for Collaborative Archiving and Mining of Surf Trails|Soumen Chakrabarti, Sandeep Srivastava, Mallela Subramanyam, Mitul Tiwari|VLDB '00 Proceedings of the 26th International Conference on Very Large Data Bases|2000
53908b2a20f70186a0db974a|Objectivity Industrial Exhibit| Objectivity|VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases|1998
53908b2a20f70186a0db9742|NeuroRule: A Connectionist Approach to Data Mining|Hongjun Lu, Rudy Setiono, Huan Liu|VLDB '95 Proceedings of the 21th International Conference on Very Large Data Bases|1995
53908b2a20f70186a0db9747|STING: A Statistical Information Grid Approach to Spatial Data Mining|Wei Wang, Jiong Yang, Richard R. Muntz|VLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases|1997
53908b2a20f70186a0db9881|Integration of XML Data|Deise de Brum Saccol, Carlos A. Heuser|Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers|2003
558d71eb0cf2c779a6475fbb|The VLDB Journal — The International Journal on Very Large Data Bases||The VLDB Journal — The International Journal on Very Large Data Bases|2000
53908b4920f70186a0dbab18|Foreword by the VLDB '98 PC Chairmen|O. Shmueli, J. Widom|The VLDB Journal — The International Journal on Very Large Data Bases|2000
53908b4920f70186a0dbab1a|Secure buffering in firm real-time database systems|Binto George, Jayant R. Haritsa|The VLDB Journal — The International Journal on Very Large Data Bases|2000
53908b4920f70186a0dbab14|Tree pattern query minimization|S. Amer-Yahia, S. Cho, L. V. S. Lakshmanan, D. Srivastava|The VLDB Journal — The International Journal on Very Large Data Bases|2002
53908b4920f70186a0dbab1b|The LHAM log-structured history data access method|Peter Muth, Patrick O'Neil, Achim Pick, Gerhard Weikum|The VLDB Journal — The International Journal on Very Large Data Bases|2000
53908b4920f70186a0dbab19|Functional-join processing|R. Braumandl, J. Claussen, A. Kemper, D. Kossmann|The VLDB Journal — The International Journal on Very Large Data Bases|2000
53908b4920f70186a0dbab22|Optimizing multiple dimensional queries simultaneously in multidimensional databases|Weifa Liang, Maria E. Orlowska, Jeffrey X. Yu|The VLDB Journal — The International Journal on Very Large Data Bases|2000
53908b4920f70186a0dbab13|Anatomy of a native XML base management system|T. Fiebig, S. Helmer, C.-C. Kanne, G. Moerkotte, J. Neumann, R. Schiele, T. Westmann|The VLDB Journal — The International Journal on Very Large Data Bases|2002
53908b4920f70186a0dbab1f|Effective timestamping in databases|Kristian Torp, Christian S. Jensen, Richard Thomas Snodgrass|The VLDB Journal — The International Journal on Very Large Data Bases|2000
53908b4920f70186a0dbab20|WaveCluster: a wavelet-based clustering approach for spatial data in very large databases|Gholamhosein Sheikholeslami, Surojit Chatterjee, Aidong Zhang|The VLDB Journal — The International Journal on Very Large Data Bases|2000
53908b4920f70186a0dbab17|An XML query engine for network-bound data|Zachary G. Ives, A. Y. Halevy, D. S. Weld|The VLDB Journal — The International Journal on Very Large Data Bases|2002
53908b4920f70186a0dbab12|TIMBER: A native XML database|H. V. Jagadish, S. Al-Khalifa, A. Chapman, L. V. S. Lakshmanan, A. Nierman, S. Paparizos, J. M. Patel, D. Srivastava, N. Wiwatwattana, Y. Wu, C. Yu|The VLDB Journal — The International Journal on Very Large Data Bases|2002
53908b4920f70186a0dbab1d|Distance-based outliers: algorithms and applications|Edwin M. Knorr, Raymond T. Ng, Vladimir Tucakov|The VLDB Journal — The International Journal on Very Large Data Bases|2000
53908b4920f70186a0dbab21|Update propagation strategies to improve freshness in lazy master replicated databases|Esther Pacitti, Eric Simon|The VLDB Journal — The International Journal on Very Large Data Bases|2000
53908b4920f70186a0dbab16|Efficient filtering of XML documents with XPath expressions|C.-Y. Chan, P. Felber, M. Garofalakis, R. Rastogi|The VLDB Journal — The International Journal on Very Large Data Bases|2002
53908b4920f70186a0dbab1c|Clustering categorical data: an approach based on dynamical systems|David Gibson, Jon Kleinberg, Prabhakar Raghavan|The VLDB Journal — The International Journal on Very Large Data Bases|2000
