index_acm,index_dblp
2251,1009
2710,1294
2624,2008
416,703
1436,796
2389,421
2151,778
1070,409
220,10
345,944
2009,550
1832,917
653,242
2748,1118
2238,1312
414,1165
1437,1263
2584,1131
786,1939
2561,1147
296,1294
7,1191
2271,1839
589,2041
2719,1477
565,1189
2615,336
7,1312
2015,1216
876,943
1190,1813
2173,755
867,2062
2420,1157
2108,1565
2770,1913
996,1129
2042,164
2761,1837
1973,64
1250,1655
546,556
2710,1791
2611,994
1726,308
1876,252
2058,1986
91,1036
170,97
1777,1707
2515,1636
2322,1507
2157,1699
1076,842
1279,1201
1355,1196
1296,1784
1628,308
2736,1231
165,1860
53,636
1956,2059
1689,1715
2274,419
296,1791
2493,988
1802,545
312,1506
496,1327
1026,95
1676,1897
2504,1002
2545,1003
1977,24
2126,1810
362,1219
559,1504
1694,86
1105,1677
84,1625
1051,1148
2725,1765
412,932
2241,1423
292,1281
442,1979
1162,2039
1580,1798
350,1343
1950,2011
589,1625
1507,1670
1006,1913
608,820
162,245
1944,1149
1376,1860
1371,1516
1686,2022
1133,1055
1281,1744
1690,1912
2199,1789
50,1882
886,131
208,1007
1625,736
654,10
2163,1085
1180,1288
2182,280
726,300
2076,793
2069,1571
2328,1502
2019,1161
353,1896
549,1542
1310,1640
198,1958
2167,1971
2387,1974
293,1966
2586,1100
1748,1
1873,706
171,1488
2351,1499
215,1494
2427,1228
1917,1392
1576,833
108,92
166,1494
2143,422
616,1959
2106,769
2754,1744
2743,1326
509,557
2367,1749
2654,759
2,460
1904,1695
2389,1215
2170,1585
310,1515
1163,1431
1068,147
1279,559
565,1741
204,981
1795,597
2,1749
2481,1339
2841,827
463,1097
1330,911
1786,1716
1755,151
1662,1128
251,396
2068,1550
56,1877
1136,1018
212,1865
634,1036
1351,1091
2347,1352
2543,998
1980,2053
2770,1189
2522,1878
1460,1263
1831,1435
1452,1789
2355,1068
2846,2059
2654,317
1580,927
2734,1774
509,1054
1125,468
1512,914
438,1753
2515,94
2280,493
2639,840
903,1708
2842,610
115,726
2269,748
1695,1910
1296,363
215,31
565,1312
2432,1506
1897,179
166,31
1723,63
2326,1790
2367,1791
612,1020
1728,114
1643,1467
189,99
2818,1434
2086,990
1028,1608
2330,1387
2307,1632
2090,880
307,1259
312,1374
2364,1385
397,1189
2202,1057
785,22
1588,80
67,1728
1049,1788
720,795
2583,870
623,862
2135,1417
1761,947
1833,1052
438,2021
2359,1512
444,752
2896,175
193,123
10,1170
1923,837
2504,65
2097,1404
1347,906
189,354
543,852
2196,1117
36,526
1151,213
2654,1177
94,238
2239,935
17,1452
2011,2010
297,1506
432,876
2011,963
1030,44
2258,840
2509,422
2312,1305
1508,1776
2265,964
2203,86
2149,1018
1362,675
1795,1954
1717,314
10,486
2341,1898
2480,1010
224,711
912,294
2068,1968
1856,99
2236,1552
2162,1374
885,1625
1943,1973
201,175
1285,1744
189,609
2076,553
2698,307
1301,1459
2074,1611
401,879
2173,570
631,1341
1969,282
317,1181
403,430
466,486
713,363
1936,1273
1647,1170
1796,741
10,849
1304,538
2832,1303
1402,292
1748,700
27,1203
2157,1622
1836,1981
1281,1170
1083,660
2770,1741
1694,1753
1856,354
438,666
160,392
2301,1384
1086,69
86,857
2395,753
466,849
366,911
423,213
438,1016
153,389
1681,1117
2035,1120
2778,1164
1888,1861
1647,486
296,559
2216,1397
58,916
2498,63
85,1507
11,1329
2431,1507
409,1375
2833,1221
2072,2062
2901,1392
2410,1798
966,1148
1826,1777
2037,240
638,565
821,1440
2432,1708
107,1050
1647,849
934,684
1138,1911
2122,1115
2578,1129
2842,1175
1087,633
2296,1416
1897,1670
955,1911
64,1474
1226,684
1856,33
2129,1131
397,1741
409,812
665,243
84,1695
2770,1312
2761,526
461,184
743,1331
1255,459
2415,791
1857,1961
431,197
2562,1255
163,648
2021,1840
686,423
2652,1414
387,770
1944,1327
270,895
41,1422
2837,1436
2601,442
2,1201
298,2017
366,1892
2484,796
2592,2019
68,737
427,1084
1898,1867
129,1427
2162,1913
1911,116
433,1774
1023,822
2193,445
2737,1326
2048,1518
2781,1554
1544,709
473,799
2252,1698
2507,1170
2247,573
1008,1079
2550,1513
1087,325
2205,1744
1823,1413
2246,1516
998,253
46,2021
397,1312
297,1374
2687,175
1779,1757
2591,1635
2300,705
878,43
432,1683
2866,298
1069,25
547,1377
2808,293
163,219
1694,1016
2134,1288
2865,46
798,1898
1183,1214
2867,1058
2318,587
969,1901
1447,213
1823,729
2751,1233
2870,1184
835,1268
2179,778
2043,1900
150,1165
1886,381
637,236
1564,101
2859,658
368,233
903,1294
198,1707
524,601
2659,1364
1390,163
502,1192
1405,700
2064,1568
2148,515
2367,559
2164,459
2176,964
2625,2022
1904,276
2709,1198
312,1189
735,1292
1285,1170
2504,685
136,1377
222,1380
2500,980
46,666
439,597
581,946
2570,1160
2817,1037
2710,911
76,1218
2066,580
2126,1385
1973,123
2365,876
1401,1358
2185,945
2403,875
2203,1753
2757,1107
364,574
2762,1451
2768,744
2807,1867
2858,637
1317,1781
1944,1879
1844,1941
1008,208
1875,59
296,911
329,859
1951,1774
1675,1876
2530,175
2586,1238
1355,1376
1585,2067
348,1222
1061,606
1787,481
2379,127
830,1905
940,316
589,1321
494,229
360,414
2775,1231
1164,1148
2595,1300
812,696
1068,622
2842,1177
1279,1744
1153,1376
2125,489
1885,507
2051,1708
1519,1847
1684,1914
2617,1301
480,465
2023,562
2241,1953
1236,219
220,245
2773,767
1233,1870
73,720
519,1709
2871,2012
2022,983
1330,1170
521,479
910,934
277,1021
28,1485
2710,1892
2132,1915
1435,526
1985,175
1945,1271
1348,1052
2300,681
1354,308
82,903
1663,1292
473,1727
2773,1022
772,1242
687,380
1194,1874
1330,486
2219,584
505,80
1837,290
1510,1356
2829,284
1915,358
962,1258
2076,1215
1899,121
1620,706
1335,1705
1638,1248
1996,175
385,1038
168,57
2478,592
36,1335
1990,1003
51,1872
439,1954
563,2020
1896,358
2237,1819
1330,849
2400,1288
163,1497
613,1962
2774,711
833,1965
312,1741
305,799
854,1795
2032,1013
2467,1170
1409,1788
2255,762
2205,1170
1842,1118
1049,1216
2389,1516
2834,1112
2361,1417
1784,2079
2594,1130
1959,656
2203,1016
596,1392
924,403
1783,1827
1480,1789
2432,1189
2709,1763
393,925
2423,1369
2777,1409
2438,1943
2563,891
2459,16
1974,267
1017,1691
2272,1358
166,64
1084,634
1777,103
2809,250
2814,365
2132,1728
284,995
625,470
1010,2038
490,16
1699,799
2855,258
2020,1379
2754,1374
2093,1857
45,1773
1787,804
1,912
1014,817
2626,1310
2834,1259
2365,1683
653,545
455,72
1282,753
36,1027
1125,1708
853,1249
339,799
1128,1225
1990,466
474,206
251,134
1075,1069
2100,2031
312,1312
2110,238
291,206
10,1913
297,1189
474,556
446,494
1906,1118
2434,1503
1829,346
661,274
640,1383
1454,1896
204,2021
842,1783
2196,1981
2366,177
2341,1810
2635,2028
2366,1345
193,61
443,438
419,1801
84,276
189,292
1584,262
2383,881
2826,175
2395,891
2030,241
805,682
2439,934
2643,175
664,154
2636,1182
2025,1065
1775,136
2843,1926
995,927
2170,894
2238,1294
2761,1335
2437,191
2234,542
2307,1249
1679,1717
1608,1248
1719,32
1015,1148
1161,1202
2712,1190
7,1294
1629,260
2782,202
1236,1497
1484,1333
1809,864
1261,278
1281,1913
2702,1118
1723,43
1509,1511
2070,1844
2577,1123
1955,322
2297,22
10,1834
994,1038
1304,1752
1180,1228
1279,1170
1855,54
2279,1550
997,1457
1859,698
2428,855
66,840
2601,1722
1051,417
724,22
753,723
745,1771
203,27
1402,351
204,666
1856,292
2542,1263
1871,1324
1897,64
466,1834
2238,1791
404,956
287,556
366,849
299,1842
2432,1741
457,967
1783,1332
2375,978
2810,152
2015,177
557,1319
1642,80
2015,1345
2811,498
452,973
2754,1913
1842,636
353,213
7,1791
2039,884
922,141
1734,19
424,2079
629,1316
59,1429
2383,1633
294,1969
2761,1027
2848,686
193,116
879,1841
1588,86
1581,83
116,1037
305,1727
1647,1834
827,1314
1852,253
60,2044
1285,1374
48,529
2852,633
188,509
417,103
816,1798
1410,1490
157,1869
532,1746
1011,963
1180,1149
2201,420
1836,1719
2806,759
297,1741
615,818
2829,891
1977,382
624,1052
577,1236
2147,1244
101,718
1109,1740
2782,1425
2009,721
1699,1727
2432,1312
944,104
2182,1551
2591,2015
1718,1861
2146,847
1585,285
199,1303
2085,1510
206,1427
1565,1740
1930,175
151,444
2750,1082
513,1062
1958,624
399,960
180,364
925,252
1506,234
788,1940
77,2077
214,2082
535,942
2806,317
435,1492
187,1427
2520,1680
407,1430
2141,866
2734,1380
1825,1798
488,1769
2234,276
2004,982
2852,325
1713,15
854,550
2810,99
2367,1744
1761,1934
1847,1937
1970,58
1008,1138
297,1312
1006,1708
1467,1837
2390,765
2083,1288
1706,1301
2,1744
1861,128
1418,1544
2637,763
175,396
1333,682
2218,816
129,923
927,674
2019,606
2409,1057
1775,1414
1224,2065
551,1033
1960,147
368,1326
2644,816
1818,1720
197,1178
61,1519
384,223
1304,1620
2294,787
2639,1761
2747,1294
2351,1065
38,1693
1096,809
1548,152
2842,1302
75,528
2754,1189
1537,1491
296,1170
1285,1913
1199,449
2069,1729
565,1294
2084,1071
809,1920
1356,1564
74,1471
2211,2078
1460,1392
129,360
2710,486
1435,1335
2783,1193
1574,1615
1460,1513
277,1133
848,1925
2205,1374
2426,2016
2445,43
776,1756
2486,569
1267,1993
634,1528
723,65
296,486
399,1136
2293,561
2490,809
2810,33
2710,849
2323,174
1973,61
164,451
1504,1690
1335,649
2747,1791
475,959
2789,216
366,1201
903,911
2427,1291
1230,259
2009,226
2750,1392
565,1791
2817,399
296,849
2299,1227
1736,67
2820,404
2337,701
2265,1993
805,847
2618,576
438,1319
2832,1030
2588,175
1236,252
1446,1028
2844,1269
2539,175
200,1797
1098,1486
1287,1156
1914,1254
1898,263
1254,1100
667,108
1780,392
1826,1033
1146,1274
1485,740
870,1339
4,932
1857,1780
466,468
1568,859
